Date,Count
2003,3
2004,216
2005,167
2006,45
2007,23
2008,18
2009,28
2010,26
2011,10
2012,11
2013,8
2014,42
2015,32
2016,18
2017,19
2018,15
2019,15
2020,17
2021,20
2022,5
