Date,Count
2003,63
2004,9166
2005,7488
2006,391
2007,287
2008,1578
2009,2790
2010,862
2011,875
2013,24
2014,5666
2015,19
2016,10222
2017,413
2018,49
2019,320
2020,474
2021,545
2022,30
